RegionName,City,State,Metro,CountyName,2018-01,2018-02
29063,Irmo,SC,Columbia,Richland,1100,1175
29072,Lexington,SC,Columbia,Lexington,1325,1395
29073,Lexington,SC,Columbia,Lexington,1135,1135
29154,Sumter,SC,Sumter,Sumter,1000,1050
29169,West Columbia,SC,Columbia,Lexington,962.5,975
29203,Columbia,SC,Columbia,Richland,850,850
29205,Columbia,SC,Columbia,Richland,1050,1150
29209,Columbia,SC,Columbia,Richland,1050,1065
29210,Columbia,SC,Columbia,Richland,999,980
29212,Columbia,SC,Columbia,Richland,1200,1200
29223,Columbia,SC,Columbia,Richland,1100,1145
29229,Columbia,SC,Columbia,Richland,1300,1267.5
29401,Charleston,SC,Charleston,Charleston,3500,3500
29403,Charleston,SC,Charleston,Charleston,2400,2500
29406,North Charleston,SC,Charleston,Charleston,1225,1172.5
29407,Charleston,SC,Charleston,Charleston,1600,1625
29412,Charleston,SC,Charleston,Charleston,1792.5,1800
29414,Charleston,SC,Charleston,Charleston,1800,1750
29418,North Charleston,SC,Charleston,Charleston,1275,1362.5
29420,North Charleston,SC,Charleston,Charleston,1495,1485
29445,Goose Creek,SC,Charleston,Berkeley,1305,1300
29456,Ladson,SC,Charleston,Berkeley,1397.5,1495
29461,Moncks Corner,SC,Charleston,Berkeley,1495,1450
29464,Mount Pleasant,SC,Charleston,Charleston,2375,2400
29466,Mount Pleasant,SC,Charleston,Charleston,2350,2300
29483,Summerville,SC,Charleston,Dorchester,1475,1475
29485,Summerville,SC,Charleston,Dorchester,1450,1475
29588,Socastee,SC,Myrtle Beach,Horry,1562.5,1500
29605,Greenville,SC,Greenville,Greenville,1200,1200
29607,Greenville,SC,Greenville,Greenville,1362.5,1350
29609,Greenville,SC,Greenville,Greenville,1349,1250
29615,Greenville,SC,Greenville,Greenville,1412.5,1400
29650,Greer,SC,Greenville,Greenville,1525,1512.5
29680,Simpsonville,SC,Greenville,Greenville,1500,1520
29681,Simpsonville,SC,Greenville,Greenville,1550,1595
29687,Taylors,SC,Greenville,Greenville,1295,1295
29708,Fort Mill,SC,Charlotte,York,1800,1900
29732,Rock Hill,SC,Charlotte,York,1125,1125
29841,North Augusta,SC,Augusta,Aiken,895,900
29910,Bluffton,SC,Hilton Head Island,Beaufort,1685,1697.5
