,Cost of Single Family Home,Zip Code
0,208300.0,29001
1,208300.0,29003
2,80700.0,29009
3,208300.0,29010
4,208300.0,29014
5,87800.0,29015
6,229700.0,29016
7,81000.0,29018
8,110400.0,29020
9,208300.0,29030
10,208300.0,29031
11,68200.0,29032
12,111600.0,29033
13,209000.0,29036
14,208300.0,29037
15,83600.0,29038
16,75300.0,29039
17,106700.0,29040
18,208300.0,29042
19,92400.0,29044
20,208300.0,29047
21,126300.0,29048
22,208300.0,29051
23,82300.0,29052
24,208300.0,29053
25,144000.0,29054
26,208300.0,29055
27,208300.0,29056
28,117800.0,29058
29,103100.0,29059
30,114100.0,29061
31,146100.0,29063
32,208300.0,29065
33,85200.0,29067
34,78900.0,29069
35,201300.0,29072
36,128600.0,29073
37,208300.0,29075
38,122400.0,29078
39,80500.0,29080
40,208300.0,29081
41,208300.0,29082
42,102800.0,29102
43,74700.0,29104
44,208300.0,29105
45,208300.0,29108
46,208300.0,29111
47,208300.0,29113
48,81000.0,29114
49,71500.0,29115
50,208300.0,29117
51,119900.0,29118
52,208300.0,29123
53,75500.0,29125
54,208300.0,29126
55,208300.0,29127
56,67200.0,29128
57,82300.0,29129
58,208300.0,29130
59,208300.0,29133
60,208300.0,29135
61,73400.0,29137
62,208300.0,29138
63,110200.0,29142
64,208300.0,29145
65,65800.0,29146
66,78600.0,29150
67,83400.0,29153
68,117100.0,29154
69,91300.0,29160
70,110500.0,29161
71,208300.0,29162
72,208300.0,29163
73,79600.0,29168
74,127300.0,29169
75,120700.0,29172
76,208300.0,29175
77,208300.0,29178
78,208300.0,29180
79,147300.0,29201
80,70600.0,29203
81,114800.0,29204
82,209800.0,29205
83,220400.0,29206
84,208300.0,29208
85,127900.0,29209
86,124200.0,29210
87,163500.0,29212
88,208300.0,29214
89,208300.0,29215
90,208300.0,29216
91,208300.0,29217
92,208300.0,29218
93,208300.0,29219
94,208300.0,29220
95,208300.0,29222
96,118700.0,29223
97,208300.0,29225
98,208300.0,29226
99,208300.0,29227
100,146600.0,29229
101,123000.0,29301
102,142900.0,29302
103,88400.0,29303
104,84600.0,29306
105,142900.0,29307
106,144300.0,29316
107,208300.0,29318
108,208300.0,29319
109,208300.0,29321
110,174600.0,29322
111,125900.0,29323
112,208300.0,29325
113,91900.0,29330
114,208300.0,29332
115,157600.0,29334
116,97600.0,29335
117,81100.0,29340
118,107500.0,29341
119,151600.0,29349
120,208300.0,29351
121,208300.0,29353
122,208300.0,29355
123,166700.0,29356
124,208300.0,29360
125,148400.0,29365
126,163900.0,29369
127,208300.0,29370
128,87300.0,29372
129,151200.0,29374
130,153100.0,29376
131,208300.0,29379
132,173000.0,29384
133,110100.0,29385
134,208300.0,29390
135,208300.0,29391
136,208300.0,29395
137,1506800.0,29401
138,412600.0,29403
139,131900.0,29405
140,303100.0,29407
141,208300.0,29409
142,229300.0,29410
143,336600.0,29412
144,208300.0,29418
145,181600.0,29420
146,208300.0,29424
147,208300.0,29425
148,208300.0,29426
