,zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015,job_growth_per
0,29001,STANDARD,0,Alcolu,,,SC,Clarendon County,America/New_York,803,,US,33.76,-80.15,1810,2.1
1,29003,STANDARD,0,Bamberg,,Midway,SC,Bamberg County,America/New_York,803,,US,33.29,-81.03,4900,-0.7
2,29006,STANDARD,0,Batesburg,"Batesburg-leesville, Batsbrg-levil","Holtson Crossroads, Kneece, New Holland Crossroads, Samaria, Summerland",SC,Lexington County,America/New_York,803,,US,33.9,-81.54,8070,-0.7
3,29009,STANDARD,0,Bethune,,,SC,Kershaw County,America/New_York,843,,US,34.41,-80.34,1880,2.1
4,29010,STANDARD,0,Bishopville,Wisacky,"Alcot, Ashland, Lucknow, Manville, Mccutchen Crossroads, Mechanicsville, Stokes Bridge",SC,Lee County,America/New_York,803,,US,34.21,-80.24,8910,2.1
5,29014,STANDARD,0,Blackstock,,"Cornwell, Douglass, Stover, Woodward",SC,Chester County,America/New_York,,,US,34.55,-81.15,1480,-0.7
6,29015,STANDARD,0,Blair,,,SC,Fairfield County,America/New_York,803,,US,34.49,-81.35,1290,-0.7
7,29016,STANDARD,0,Blythewood,,,SC,Richland County,America/New_York,803,,US,34.21,-80.97,20400,-0.7
8,29018,STANDARD,0,Bowman,,,SC,Orangeburg County,America/New_York,803,,US,33.34,-80.68,2860,2.1
9,29020,STANDARD,0,Camden,,"Antioch, Dusty Bend, Kirkland, Kirkwood, Red Hill, Shamokin",SC,Kershaw County,America/New_York,803,,US,34.26,-80.61,19120,2.1
10,29030,STANDARD,0,Cameron,Lone Star,Creston,SC,Calhoun County,America/New_York,803,,US,33.55,-80.71,1550,2.1
11,29031,STANDARD,0,Carlisle,,"Leeds, Tuckertown",SC,Union County,America/New_York,,,US,34.59,-81.46,1030,2.0
12,29032,STANDARD,0,Cassatt,,,SC,Kershaw County,America/New_York,,,US,34.34,-80.47,3560,2.1
13,29033,STANDARD,0,Cayce,West Columbia,"Cayce-w Cola, Cayce-west Columbia",SC,Lexington County,America/New_York,803,,US,33.95,-81.06,9600,-0.7
14,29036,STANDARD,0,Chapin,,Lake Murray,SC,Lexington County,America/New_York,803,,US,34.16,-81.34,21920,-0.7
15,29037,STANDARD,0,Chappells,,Bigcreek,SC,Newberry County,America/New_York,864,,US,34.18,-81.87,680,2.5
16,29038,STANDARD,0,Cope,,,SC,Orangeburg County,America/New_York,803,,US,33.37,-81.0,2190,-0.7
17,29039,STANDARD,0,Cordova,,,SC,Orangeburg County,America/New_York,803,,US,33.43,-80.92,3310,-0.7
18,29040,STANDARD,0,Dalzell,,"Gaillard Crossroads, Woodrow",SC,Sumter County,America/New_York,803,,US,34.03,-80.45,7970,2.1
19,29042,STANDARD,0,Denmark,,,SC,Bamberg County,America/New_York,803,,US,33.31,-81.13,3400,-0.7
20,29044,STANDARD,0,Eastover,,"Congaree, Mcentire Air National Guard, Wateree",SC,Richland County,America/New_York,803,,US,33.87,-80.69,4390,2.1
21,29045,STANDARD,0,Elgin,,Pontiac,SC,Kershaw County,America/New_York,803,,US,34.16,-80.79,22280,-0.7
22,29047,STANDARD,0,Elloree,,Felderville,SC,Orangeburg County,America/New_York,803,,US,33.52,-80.57,2740,2.1
23,29048,STANDARD,0,Eutawville,,Eutaw Springs,SC,Orangeburg County,America/New_York,"843,803",,US,33.39,-80.34,3590,2.1
24,29051,STANDARD,0,Gable,,,SC,Sumter County,America/New_York,803,,US,33.86,-80.13,750,2.1
25,29052,STANDARD,0,Gadsden,,Kingville,SC,Richland County,America/New_York,803,,US,33.84,-80.74,1640,-0.7
26,29053,STANDARD,0,Gaston,,,SC,Lexington County,America/New_York,803,,US,33.81,-81.1,16230,-0.7
27,29054,STANDARD,0,Gilbert,,,SC,Lexington County,America/New_York,803,,US,33.92,-81.39,9180,-0.7
28,29055,STANDARD,0,Great Falls,,Beckhamville,SC,Chester County,America/New_York,803,,US,34.57,-80.9,3310,-0.7
29,29056,STANDARD,0,Greeleyville,,,SC,Williamsburg County,America/New_York,843,,US,33.57,-79.98,1850,2.1
30,29058,STANDARD,0,Heath Springs,,"Pleasant Hill, Stoneboro",SC,Lancaster County,America/New_York,803,,US,34.59,-80.67,3940,-0.7
31,29059,STANDARD,0,Holly Hill,,Bowyer,SC,Orangeburg County,America/New_York,803,,US,33.32,-80.41,4880,2.1
32,29061,STANDARD,0,Hopkins,,Horrel Hill,SC,Richland County,America/New_York,803,,US,33.88,-80.84,12250,-0.7
33,29063,STANDARD,0,Irmo,,,SC,Richland County,America/New_York,,,US,34.09,-81.18,34790,-0.7
34,29065,STANDARD,0,Jenkinsville,Monticello,,SC,Fairfield County,America/New_York,803,,US,34.25,-81.26,640,-0.7
35,29067,STANDARD,0,Kershaw,,"Abney, Spring Mills, Taxahaw, White Bluff",SC,Lancaster County,America/New_York,803,,US,34.54,-80.58,7110,2.1
36,29069,STANDARD,0,Lamar,,"Cypress Crossroads, Oats",SC,Darlington County,America/New_York,843,,US,34.16,-80.06,4030,2.1
37,29070,STANDARD,0,Leesville,"Batesburg-leesville, Batsbrg-levil","Delmar, Fairview Crossroads, Lake Murray Shores, Steedman, Summit",SC,Lexington County,America/New_York,803,,US,33.91,-81.51,13770,-0.7
38,29072,STANDARD,0,Lexington,,"Barr, Edmund, Macedon, Red Bank",SC,Lexington County,America/New_York,803,,US,33.98,-81.22,55220,-0.7
39,29073,STANDARD,0,Lexington,,,SC,Lexington County,America/New_York,803,,US,33.89,-81.24,39690,-0.7
40,29075,STANDARD,0,Little Mountain,Little Mtn,,SC,Newberry County,America/New_York,803,,US,34.19,-81.41,2790,-0.7
41,29078,STANDARD,0,Lugoff,,,SC,Kershaw County,America/New_York,803,,US,34.22,-80.68,14800,-0.7
42,29080,STANDARD,0,Lynchburg,,"Atkins, Motbridge, Shiloh, South Lynchburg",SC,Lee County,America/New_York,803,,US,34.05,-80.07,2550,2.1
43,29081,STANDARD,0,Ehrhardt,,,SC,Bamberg County,America/New_York,803,,US,33.09,-81.01,990,1.6
44,29082,STANDARD,0,Lodge,,,SC,Colleton County,America/New_York,843,,US,33.06,-80.95,460,1.6
45,29101,STANDARD,0,Mc Bee,,"Clyde, Mcbee, Robinson",SC,Chesterfield County,America/New_York,843,,US,34.46,-80.25,2700,2.1
46,29102,STANDARD,0,Manning,Paxville,"Bloomville, Foreston, Jordan, Wilson",SC,Clarendon County,America/New_York,803,,US,33.69,-80.21,14630,2.1
47,29104,STANDARD,0,Mayesville,Saint Charles,Scottsville,SC,Sumter County,America/New_York,803,,US,33.98,-80.2,1340,2.1
48,29105,STANDARD,0,Monetta,,"Hibernia, Jones Crossroads, Watsonia",SC,Aiken County,America/New_York,803,,US,33.84,-81.61,1500,-0.7
49,29107,STANDARD,0,Neeses,Livingston,,SC,Orangeburg County,America/New_York,803,,US,33.53,-81.12,2430,-0.7
50,29108,STANDARD,0,Newberry,,,SC,Newberry County,America/New_York,803,,US,34.27,-81.61,17880,-0.7
51,29111,STANDARD,0,New Zion,,"Oak Dale, Oakdale, Union Crossroads, Workman",SC,Clarendon County,America/New_York,,,US,33.77,-80.01,1290,2.1
52,29112,STANDARD,0,North,,,SC,Orangeburg County,America/New_York,803,,US,33.61,-81.1,3710,-0.7
53,29113,STANDARD,0,Norway,,,SC,Orangeburg County,America/New_York,803,,US,33.44,-81.12,1210,-0.7
54,29114,STANDARD,0,Olanta,,Mckenzie Crossroads,SC,Florence County,America/New_York,843,,US,33.93,-79.93,1700,2.1
55,29115,STANDARD,0,Orangeburg,,"Bolen Town, Jamison, Pecan Way Terrace",SC,Orangeburg County,America/New_York,803,,US,33.49,-80.86,21330,-0.7
56,29117,UNIQUE,0,Orangeburg,,Sc State University,SC,Orangeburg County,America/New_York,803,,US,33.5,-80.85,221,-0.7
57,29118,STANDARD,0,Orangeburg,,,SC,Orangeburg County,America/New_York,803,,US,33.57,-80.89,13030,-0.7
58,29123,STANDARD,0,Pelion,,Thor,SC,Lexington County,America/New_York,803,,US,33.78,-81.24,6620,-0.7
59,29125,STANDARD,0,Pinewood,Rimini,"Millford, Panola",SC,Sumter County,America/New_York,803,,US,33.73,-80.46,2290,2.1
60,29126,STANDARD,0,Pomaria,,Glympville,SC,Newberry County,America/New_York,,,US,34.26,-81.41,2180,-0.7
61,29127,STANDARD,0,Prosperity,,"Slighs, Stockman, Stoney Hill",SC,Newberry County,America/New_York,803,,US,34.21,-81.53,7830,-0.7
