Month,ZipCode,ZipName,Property Type,Footnote,Median Listing Price,Median Listing Price M/M,Median Listing Price Y/Y,Active Listing Count ,Active Listing Count M/M,Active Listing Count Y/Y,Days on Market ,Days on Market M/M,Days on Market Y/Y,New Listing Count ,New Listing Count M/M,New Listing Count Y/Y,Price Increase Count ,Price Increase Count M/M,Price Increase Count Y/Y,Price Decrease Count ,Price Decrease Count M/M,Price Decrease Count Y/Y,Pending Listing Count ,Pending Listing Count M/M,Pending Listing Count Y/Y,Avg Listing Price,Avg Listing Price M/M,Avg Listing Price Y/Y,Total Listing Count,Total Listing Count M/M,Total Listing Count Y/Y,Pending Ratio,Pending Ratio M/M,Pending Ratio Y/Y
201803,29003,"Bamberg, SC",Single Family Home,,101800,0.1059,-0.1054,28,0.3023,0.3659,133.75,-0.0932,-0.261,10,4,,0,,,0,,-1,0,,,150993,0.0375,0.0797,28,0.3023,0.3659,0,0,0
201803,29006,"Batesburg, SC",Single Family Home,,116050,-0.0846,-0.1696,24,-0.0588,-0.3846,72.5,-0.4325,0.1554,10,1.5,-0.2857,0,,,6,0,0.5,0,,,143556,0.0032,-0.1868,24,-0.0588,-0.3846,0,0,0
201803,29016,"Blythewood, SC",Single Family Home,*,291200,0.0619,,198,0.0206,,72.5,-0.0645,,74,0.3704,-0.075,12,-0.5714,2,28,-0.2222,-0.2222,0,,-1,307117,0.0469,0.0961,198,0.0206,-0.2694,0,0,-0.0037
201803,29020,"Camden, SC",Single Family Home,,208550,0.0451,0.0034,167.5,-0.0089,-0.1207,103,-0.0283,-0.1102,40,0.0526,0.0526,0,,,18,-0.3077,0,4,0,0,322690,0.0725,0.1685,171.5,-0.0087,-0.1183,0.0239,0.0002,0.0029
201803,29033,"Cayce, SC",Single Family Home,*,138775,0.0193,,26.5,-0.1167,,69.75,0,,14,0.4,0.1667,0,,,8,-0.3333,0.3333,0,,,150772,0.0348,0.0196,26.5,-0.1167,-0.4045,0,0,0
201803,29036,"Chapin, SC",Single Family Home,,298926.5,0.0485,0.002,237.5,-0.0063,-0.0186,65.25,-0.13,0.044,68,0.0303,-0.2093,2,-0.75,-0.8,60,0.5789,0.3043,0,,,366466,0.0344,0.0065,237.5,-0.0063,-0.0186,0,0,0
201803,29040,"Dalzell, SC",Single Family Home,*,123925,0.039,-0.0406,27,0.0588,-0.2286,46,-0.2035,,18,0.5,0.8,0,,,10,0.6667,0.6667,27,0,0.1489,143792,0.0065,0.0469,54,0.0286,-0.0769,1,-0.0588,0.3286
201803,29045,"Elgin, SC",Single Family Home,,262500,0.0094,0.1416,178.5,0.0531,-0.1812,68,-0.049,0.0709,60,0.3043,-0.0323,14,6,1.3333,30,0.1538,0.25,0,-1,-1,332753,0.0172,0.0879,178.5,0.0469,-0.1831,0,-0.0059,-0.0023
201803,29047,"Elloree, SC",Single Family Home,,199950,-0.0246,-0.1393,31.5,-0.16,0.125,151.75,-0.069,-0.4158,2,-0.5,-0.75,0,,,6,,2,4.5,0.125,0,286016,0.0176,0.0692,36,-0.1325,0.1077,0.1429,0.0362,-0.0179
201803,29048,"Eutawville, SC",Single Family Home,,249950,-0.0478,0.1623,25.5,0.275,-0.0377,79.5,-0.2965,-0.6192,0,-1,-1,0,,,8,1,,1,0,1,290717,0.0309,0.2425,26.5,0.2619,-0.0185,0.0392,-0.0108,0.0203
