Zip,City,Robbery,Violent Crime,Murder & Manslaughter,Forcible Rape,Aggravated Assault,Property Crime,Burglary,Larceny & Theft,Motor Vehicle Theft,Arson,Total
29003,Bamberg SC,3,19,0,1,15,166,37,123,6,5,185
29006,Batesburg-Leesville SC,3,67,0,3,61,323,55,239,29,1,390
29009,Bethune SC,0,0,0,0,0,5,2,2,1,0,5
29010,Bishopville SC,5,23,0,0,18,288,60,213,15,1,311
29018,Bowman SC,0,10,1,0,9,25,11,11,3,0,35
29020,Camden SC,18,89,1,4,66,516,168,323,25,1,605
29030,Cameron SC,0,0,0,0,0,0,0,0,0,0,0
29033,Cayce SC,21,153,0,13,119,745,140,554,51,2,898
29033,West Columbia SC,53,167,0,11,103,885,139,698,48,3,1052
29036,Chapin SC,0,2,0,2,0,48,4,43,1,0,50
29040,Sumter SC,101,531,4,9,417,2568,683,1743,142,11,3099
29042,Denmark SC,5,23,1,1,16,96,32,61,3,0,119
29044,Columbia SC,345,1542,16,67,1114,6963,1267,5066,630,24,8505
29044,Eastover SC,0,3,0,0,3,8,5,3,0,1,11
29045,Columbia SC,345,1542,16,67,1114,6963,1267,5066,630,24,8505
29045,Elgin SC,0,4,0,1,3,52,6,45,1,0,56
29047,Elloree SC,0,1,0,0,1,10,0,8,2,0,11
29048,Eutawville SC,0,4,0,0,4,19,3,11,5,0,23
29053,Gaston SC,0,0,0,0,0,5,2,3,0,0,5
29053,Pine Ridge SC,1,5,0,0,4,51,16,33,2,0,56
29053,Swansea SC,2,15,0,0,13,45,6,35,4,0,60
29055,Great Falls SC,5,33,0,1,27,145,30,110,5,1,178
29056,Greeleyville SC,0,0,0,0,0,14,5,6,3,0,14
29059,Holly Hill SC,3,6,0,0,3,54,19,32,3,0,60
29061,Columbia SC,345,1542,16,67,1114,6963,1267,5066,630,24,8505
29063,Columbia SC,345,1542,16,67,1114,6963,1267,5066,630,24,8505
29063,Irmo SC,10,42,0,5,27,366,52,298,16,1,408
29069,Lamar SC,1,17,0,0,16,68,18,45,5,2,85
29070,Batesburg-Leesville SC,3,67,0,3,61,323,55,239,29,1,390
29072,Lexington SC,4,57,0,4,49,578,46,518,14,1,635
29073,Lexington SC,4,57,0,4,49,578,46,518,14,1,635
29073,West Columbia SC,53,167,0,11,103,885,139,698,48,3,1052
29080,Lynchburg SC,0,1,0,0,1,6,4,2,0,0,7
29081,Ehrhardt SC,0,1,0,0,1,1,0,0,1,0,2
29101,McBee SC,0,3,0,1,2,18,6,12,0,0,21
29102,Manning SC,12,51,0,1,38,275,65,195,15,0,326
29108,Newberry SC,9,55,0,3,43,431,48,376,7,0,486
29112,North SC,2,6,1,0,3,28,8,17,3,1,34
29112,Swansea SC,2,15,0,0,13,45,6,35,4,0,60
29113,Norway SC,0,4,0,0,4,21,4,17,0,0,25
29115,Orangeburg SC,28,87,0,4,55,789,162,558,69,2,876
29117,Orangeburg SC,28,87,0,4,55,789,162,558,69,2,876
29118,Orangeburg SC,28,87,0,4,55,789,162,558,69,2,876
29123,Pelion SC,0,3,0,0,3,46,9,37,0,0,49
29127,Prosperity SC,0,12,0,0,12,45,15,29,1,0,57
29135,St. Matthews SC,1,33,0,1,31,88,18,63,7,1,121
29137,Salley SC,0,1,0,0,1,10,3,6,1,0,11
29138,Saluda SC,5,64,1,0,58,84,5,65,14,1,148
29142,Santee SC,6,19,0,0,13,121,27,89,5,0,140
29146,Springfield SC,0,0,0,0,0,2,1,1,0,0,2
