zip,type,decommissioned,primary_city,acceptable_cities,unacceptable_cities,state,county,timezone,area_codes,world_region,country,latitude,longitude,irs_estimated_population_2015
29001,STANDARD,0,Alcolu,,,SC,Clarendon County,America/New_York,803,NA,US,33.76,-80.15,1810
29003,STANDARD,0,Bamberg,,Midway,SC,Bamberg County,America/New_York,803,NA,US,33.29,-81.03,4900
29006,STANDARD,0,Batesburg,"Batesburg-leesville, Batsbrg-levil","Holtson Crossroads, Kneece, New Holland Crossroads, Samaria, Summerland",SC,Lexington County,America/New_York,803,NA,US,33.9,-81.54,8070
29009,STANDARD,0,Bethune,,,SC,Kershaw County,America/New_York,843,NA,US,34.41,-80.34,1880
29010,STANDARD,0,Bishopville,Wisacky,"Alcot, Ashland, Lucknow, Manville, Mccutchen Crossroads, Mechanicsville, Stokes Bridge",SC,Lee County,America/New_York,803,NA,US,34.21,-80.24,8910
29014,STANDARD,0,Blackstock,,"Cornwell, Douglass, Stover, Woodward",SC,Chester County,America/New_York,,NA,US,34.55,-81.15,1480
29015,STANDARD,0,Blair,,,SC,Fairfield County,America/New_York,803,NA,US,34.49,-81.35,1290
29016,STANDARD,0,Blythewood,,,SC,Richland County,America/New_York,803,NA,US,34.21,-80.97,20400
29018,STANDARD,0,Bowman,,,SC,Orangeburg County,America/New_York,803,NA,US,33.34,-80.68,2860
29020,STANDARD,0,Camden,,"Antioch, Dusty Bend, Kirkland, Kirkwood, Red Hill, Shamokin",SC,Kershaw County,America/New_York,803,NA,US,34.26,-80.61,19120
29030,STANDARD,0,Cameron,Lone Star,Creston,SC,Calhoun County,America/New_York,803,NA,US,33.55,-80.71,1550
29031,STANDARD,0,Carlisle,,"Leeds, Tuckertown",SC,Union County,America/New_York,,NA,US,34.59,-81.46,1030
29032,STANDARD,0,Cassatt,,,SC,Kershaw County,America/New_York,,NA,US,34.34,-80.47,3560
29033,STANDARD,0,Cayce,West Columbia,"Cayce-w Cola, Cayce-west Columbia",SC,Lexington County,America/New_York,803,NA,US,33.95,-81.06,9600
29036,STANDARD,0,Chapin,,Lake Murray,SC,Lexington County,America/New_York,803,NA,US,34.16,-81.34,21920
29037,STANDARD,0,Chappells,,Bigcreek,SC,Newberry County,America/New_York,864,NA,US,34.18,-81.87,680
29038,STANDARD,0,Cope,,,SC,Orangeburg County,America/New_York,803,NA,US,33.37,-81,2190
29039,STANDARD,0,Cordova,,,SC,Orangeburg County,America/New_York,803,NA,US,33.43,-80.92,3310
29040,STANDARD,0,Dalzell,,"Gaillard Crossroads, Woodrow",SC,Sumter County,America/New_York,803,NA,US,34.03,-80.45,7970
29042,STANDARD,0,Denmark,,,SC,Bamberg County,America/New_York,803,NA,US,33.31,-81.13,3400
29044,STANDARD,0,Eastover,,"Congaree, Mcentire Air National Guard, Wateree",SC,Richland County,America/New_York,803,NA,US,33.87,-80.69,4390
29045,STANDARD,0,Elgin,,Pontiac,SC,Kershaw County,America/New_York,803,NA,US,34.16,-80.79,22280
29047,STANDARD,0,Elloree,,Felderville,SC,Orangeburg County,America/New_York,803,NA,US,33.52,-80.57,2740
29048,STANDARD,0,Eutawville,,Eutaw Springs,SC,Orangeburg County,America/New_York,"843,803",NA,US,33.39,-80.34,3590
29051,STANDARD,0,Gable,,,SC,Sumter County,America/New_York,803,NA,US,33.86,-80.13,750
29052,STANDARD,0,Gadsden,,Kingville,SC,Richland County,America/New_York,803,NA,US,33.84,-80.74,1640
29053,STANDARD,0,Gaston,,,SC,Lexington County,America/New_York,803,NA,US,33.81,-81.1,16230
29054,STANDARD,0,Gilbert,,,SC,Lexington County,America/New_York,803,NA,US,33.92,-81.39,9180
29055,STANDARD,0,Great Falls,,Beckhamville,SC,Chester County,America/New_York,803,NA,US,34.57,-80.9,3310
29056,STANDARD,0,Greeleyville,,,SC,Williamsburg County,America/New_York,843,NA,US,33.57,-79.98,1850
29058,STANDARD,0,Heath Springs,,"Pleasant Hill, Stoneboro",SC,Lancaster County,America/New_York,803,NA,US,34.59,-80.67,3940
29059,STANDARD,0,Holly Hill,,Bowyer,SC,Orangeburg County,America/New_York,803,NA,US,33.32,-80.41,4880
29061,STANDARD,0,Hopkins,,Horrel Hill,SC,Richland County,America/New_York,803,NA,US,33.88,-80.84,12250
29063,STANDARD,0,Irmo,,,SC,Richland County,America/New_York,,NA,US,34.09,-81.18,34790
29065,STANDARD,0,Jenkinsville,Monticello,,SC,Fairfield County,America/New_York,803,NA,US,34.25,-81.26,640
